Full_name_in_ali	GISAID_name	Date	Seq_source	FMBA_ID	Country	Region_from_meta	Pangolin_clade	GISAID_clade	NL_NAME	Lineage
hCoV-19/Russia/Moscow-FMBA_KOM-0133_S23/2020||2020-09-08|1	Russia/Moscow-FMBA_KOM-0133_S23/2020	2020-09-08	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0015715
hCoV-19/Russia/Moscow-FMBA_KOM-0134_S31/2020||2020-09-08|1	Russia/Moscow-FMBA_KOM-0134_S31/2020	2020-09-08	NA	NA	Russia	Moscow	B.1.1.31	NA	г. Москва	NODE_0021451
hCoV-19/Russia/Moscow-FMBA_KOM-0135_S21/2020||2020-09-08|1	Russia/Moscow-FMBA_KOM-0135_S21/2020	2020-09-08	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0031234
hCoV-19/Russia/Moscow-FMBA_KOM-0136_S38/2020||2020-09-08|1	Russia/Moscow-FMBA_KOM-0136_S38/2020	2020-09-08	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	single_seq
hCoV-19/Russia/Moscow-FMBA_KOM-0137_S86/2020||2020-09-09|1	Russia/Moscow-FMBA_KOM-0137_S86/2020	2020-09-09	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0023039
hCoV-19/Russia/Moscow-FMBA_KOM-0138_S88/2020||2020-09-09|1	Russia/Moscow-FMBA_KOM-0138_S88/2020	2020-09-09	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0015820
hCoV-19/Russia/Moscow-FMBA_KOM-0139_S32/2020||2020-09-09|1	Russia/Moscow-FMBA_KOM-0139_S32/2020	2020-09-09	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0039469
hCoV-19/Russia/Moscow-FMBA_KOM-0140_S35/2020||2020-09-09|1	Russia/Moscow-FMBA_KOM-0140_S35/2020	2020-09-09	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	single_seq
hCoV-19/Russia/Moscow-FMBA_KOM-0141_S95/2020||2020-09-09|1	Russia/Moscow-FMBA_KOM-0141_S95/2020	2020-09-09	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0030939
hCoV-19/Russia/Moscow-FMBA_KOM-0142_S28/2020||2020-09-09|1	Russia/Moscow-FMBA_KOM-0142_S28/2020	2020-09-09	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	single_seq
hCoV-19/Russia/Moscow-FMBA_KOM-0143_S84/2020||2020-09-09|1	Russia/Moscow-FMBA_KOM-0143_S84/2020	2020-09-09	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0039814
hCoV-19/Russia/Moscow-FMBA_KOM-0144_S74/2020||2020-09-09|1	Russia/Moscow-FMBA_KOM-0144_S74/2020	2020-09-09	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0034035
hCoV-19/Russia/Moscow-FMBA_KOM-0145_S89/2020||2020-09-09|1	Russia/Moscow-FMBA_KOM-0145_S89/2020	2020-09-09	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0040195
hCoV-19/Russia/Moscow-FMBA_KOM-0146_S27/2020||2020-09-09|1	Russia/Moscow-FMBA_KOM-0146_S27/2020	2020-09-09	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0039467
hCoV-19/Russia/Moscow-FMBA_KOM-0181_S71/2020||2020-09-12|1	Russia/Moscow-FMBA_KOM-0181_S71/2020	2020-09-12	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	single_seq
hCoV-19/Russia/Moscow-FMBA_KOM-0229_S26/2020||2020-09-18|1	Russia/Moscow-FMBA_KOM-0229_S26/2020	2020-09-18	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	NODE_0005652
hCoV-19/Russia/Moscow-FMBA_KOM-0231_S20/2020||2020-09-18|1	Russia/Moscow-FMBA_KOM-0231_S20/2020	2020-09-18	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	NODE_0021350
hCoV-19/Russia/Moscow-FMBA_KOM-0232_S40/2020||2020-09-18|1	Russia/Moscow-FMBA_KOM-0232_S40/2020	2020-09-18	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0015820
hCoV-19/Russia/Moscow-FMBA_KOM-0234_S35/2020||2020-09-18|1	Russia/Moscow-FMBA_KOM-0234_S35/2020	2020-09-18	NA	NA	Russia	Moscow	B.1.1.294	NA	г. Москва	NODE_0038910
hCoV-19/Russia/Moscow-FMBA_KOM-0238_S61/2020||2020-09-18|1	Russia/Moscow-FMBA_KOM-0238_S61/2020	2020-09-18	NA	NA	Russia	Moscow	B.1.1.294	NA	г. Москва	NODE_0038910
hCoV-19/Russia/Moscow-FMBA_KOM-0240_S27/2020||2020-09-18|1	Russia/Moscow-FMBA_KOM-0240_S27/2020	2020-09-18	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0039776
hCoV-19/Russia/Moscow-FMBA_KOM-0242_S33/2020||2020-09-18|1	Russia/Moscow-FMBA_KOM-0242_S33/2020	2020-09-18	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0033514
hCoV-19/Russia/Moscow-FMBA_KOM-0246_S15/2020||2020-09-18|1	Russia/Moscow-FMBA_KOM-0246_S15/2020	2020-09-18	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	single_seq
hCoV-19/Russia/Moscow-FMBA_KOM-0247_S21/2020||2020-09-18|1	Russia/Moscow-FMBA_KOM-0247_S21/2020	2020-09-18	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0031234
hCoV-19/Russia/Moscow-FMBA_KOM-0251_S41/2020||2020-09-18|1	Russia/Moscow-FMBA_KOM-0251_S41/2020	2020-09-18	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	NODE_0015950
hCoV-19/Russia/Moscow-FMBA_KOM-0252_S77/2020||2020-09-18|1	Russia/Moscow-FMBA_KOM-0252_S77/2020	2020-09-18	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0030939
hCoV-19/Russia/Moscow-FMBA_KOM-0254_S16/2020||2020-09-18|1	Russia/Moscow-FMBA_KOM-0254_S16/2020	2020-09-18	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0015600
hCoV-19/Russia/Moscow-FMBA_KOM-0260_S53/2020||2020-09-20|1	Russia/Moscow-FMBA_KOM-0260_S53/2020	2020-09-20	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	NODE_0033087
hCoV-19/Russia/Moscow-FMBA_KOM-0264_S76/2020||2020-09-20|1	Russia/Moscow-FMBA_KOM-0264_S76/2020	2020-09-20	NA	NA	Russia	Moscow	B.1.1.294	NA	г. Москва	NODE_0038910
hCoV-19/Russia/Moscow-FMBA_KOM-0265_S30/2020||2020-09-19|1	Russia/Moscow-FMBA_KOM-0265_S30/2020	2020-09-19	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0039814
hCoV-19/Russia/Moscow-FMBA_KOM-0276_S14/2020||2020-09-20|1	Russia/Moscow-FMBA_KOM-0276_S14/2020	2020-09-20	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	NODE_0033087
hCoV-19/Russia/Moscow-FMBA_KOM-0280_S17/2020||2020-09-21|1	Russia/Moscow-FMBA_KOM-0280_S17/2020	2020-09-21	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	single_seq
hCoV-19/Russia/Moscow-FMBA_KOM-0281_S39/2020||2020-09-21|1	Russia/Moscow-FMBA_KOM-0281_S39/2020	2020-09-21	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0039467
hCoV-19/Russia/Moscow-FMBA_KOM-0283_S19/2020||2020-09-22|1	Russia/Moscow-FMBA_KOM-0283_S19/2020	2020-09-22	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0005748
hCoV-19/Russia/Moscow-FMBA_KOM-0285_merge/2020||2020-09-22|1	Russia/Moscow-FMBA_KOM-0285_merge/2020	2020-09-22	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	single_seq
hCoV-19/Russia/Moscow-FMBA_KOM-0286_S31/2020||2020-09-22|1	Russia/Moscow-FMBA_KOM-0286_S31/2020	2020-09-22	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	NODE_0011954
hCoV-19/Russia/Moscow-FMBA_KOM-0288_S37/2020||2020-09-22|1	Russia/Moscow-FMBA_KOM-0288_S37/2020	2020-09-22	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0015820
hCoV-19/Russia/Moscow-FMBA_KOM-0293_S24/2020||2020-09-21|1	Russia/Moscow-FMBA_KOM-0293_S24/2020	2020-09-21	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0030939
hCoV-19/Russia/Moscow-FMBA_KOM-0294_S18/2020||2020-09-21|1	Russia/Moscow-FMBA_KOM-0294_S18/2020	2020-09-21	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	NODE_0001638
hCoV-19/Russia/Moscow-FMBA_KOM-0297_S22/2020||2020-09-22|1	Russia/Moscow-FMBA_KOM-0297_S22/2020	2020-09-22	NA	NA	Russia	Moscow	B.1.1.294	NA	г. Москва	single_seq
hCoV-19/Russia/Moscow-FMBA_KOM-0299_S23/2020||2020-09-22|1	Russia/Moscow-FMBA_KOM-0299_S23/2020	2020-09-22	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	NODE_0033087
hCoV-19/Russia/Moscow-FMBA_KOM-0303_S25/2020||2020-09-23|1	Russia/Moscow-FMBA_KOM-0303_S25/2020	2020-09-23	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0035957
hCoV-19/Russia/Moscow-FMBA_KOM-0306_S32/2020||2020-09-23|1	Russia/Moscow-FMBA_KOM-0306_S32/2020	2020-09-23	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0015679
hCoV-19/Russia/Moscow-FMBA_KOM-0308_S42/2020||2020-09-23|1	Russia/Moscow-FMBA_KOM-0308_S42/2020	2020-09-23	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0005748
hCoV-19/Russia/Moscow-FMBA_KOM-0309_S29/2020||2020-09-23|1	Russia/Moscow-FMBA_KOM-0309_S29/2020	2020-09-23	NA	NA	Russia	Moscow	B.1.1.294	NA	г. Москва	NODE_0038910
hCoV-19/Russia/Moscow-FMBA_KOM-0311_S38/2020||2020-09-23|1	Russia/Moscow-FMBA_KOM-0311_S38/2020	2020-09-23	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	NODE_0015950
hCoV-19/Russia/Moscow-FMBA_KOM-0488_S112/2020||2020-10-08|1	Russia/Moscow-FMBA_KOM-0488_S112/2020	2020-10-08	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0005748
hCoV-19/Russia/Moscow-FMBA_KOM-0492_S110/2020||2020-10-08|1	Russia/Moscow-FMBA_KOM-0492_S110/2020	2020-10-08	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	single_seq
hCoV-19/Russia/Moscow-FMBA_KOM-0497_S113/2020||2020-10-10|1	Russia/Moscow-FMBA_KOM-0497_S113/2020	2020-10-10	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0015677
hCoV-19/Russia/Moscow-FMBA_KOM-0503_S99/2020||2020-10-09|1	Russia/Moscow-FMBA_KOM-0503_S99/2020	2020-10-09	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	NODE_0005319
hCoV-19/Russia/Moscow-FMBA_KOM-0505_S122/2020||2020-10-09|1	Russia/Moscow-FMBA_KOM-0505_S122/2020	2020-10-09	NA	NA	Russia	Moscow	B.1.*	NA	г. Москва	single_seq
hCoV-19/Russia/Moscow-FMBA_KOM-0518_S116/2020||2020-10-11|1	Russia/Moscow-FMBA_KOM-0518_S116/2020	2020-10-11	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0039776
hCoV-19/Russia/Moscow-FMBA_KOM-0525_S119/2020||2020-10-14|1	Russia/Moscow-FMBA_KOM-0525_S119/2020	2020-10-14	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	NODE_0033087
hCoV-19/Russia/Moscow-FMBA_KOM-0535_S117/2020||2020-10-14|1	Russia/Moscow-FMBA_KOM-0535_S117/2020	2020-10-14	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	single_seq
hCoV-19/Russia/Moscow-FMBA_KOM-0538_S109/2020||2020-10-14|1	Russia/Moscow-FMBA_KOM-0538_S109/2020	2020-10-14	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0039776
hCoV-19/Russia/Moscow-FMBA_KOM-0541_S115/2020||2020-10-15|1	Russia/Moscow-FMBA_KOM-0541_S115/2020	2020-10-15	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	single_seq
hCoV-19/Russia/Moscow-FMBA_KOM-0543_S120/2020||2020-10-15|1	Russia/Moscow-FMBA_KOM-0543_S120/2020	2020-10-15	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0015346
hCoV-19/Russia/Moscow-FMBA_KOM-0546_S114/2020||2020-10-18|1	Russia/Moscow-FMBA_KOM-0546_S114/2020	2020-10-18	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0015438
hCoV-19/Russia/Moscow-FMBA_KOM-0547_S123/2020||2020-10-18|1	Russia/Moscow-FMBA_KOM-0547_S123/2020	2020-10-18	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	NODE_0034241
hCoV-19/Russia/Moscow-FMBA_KOM-0562_S90/2020||2020-10-17|1	Russia/Moscow-FMBA_KOM-0562_S90/2020	2020-10-17	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0015509
hCoV-19/Russia/Moscow-FMBA_KOM-0566_S121/2020||2020-10-17|1	Russia/Moscow-FMBA_KOM-0566_S121/2020	2020-10-17	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0015346
hCoV-19/Russia/Moscow-FMBA_KOM-0577_S111/2020||2020-10-18|1	Russia/Moscow-FMBA_KOM-0577_S111/2020	2020-10-18	NA	NA	Russia	Moscow	B.1.1.294	NA	г. Москва	NODE_0038846
hCoV-19/Russia/Moscow-FMBA_KOM-0593_S118/2020||2020-10-19|1	Russia/Moscow-FMBA_KOM-0593_S118/2020	2020-10-19	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	NODE_0033087
hCoV-19/Russia/Moscow-FMBA_KOM-147_S128/2020||2020-09-10|1	Russia/Moscow-FMBA_KOM-147_S128/2020	2020-09-10	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0041586
hCoV-19/Russia/Moscow-FMBA_KOM-148_S67/2020||2020-09-08|1	Russia/Moscow-FMBA_KOM-148_S67/2020	2020-09-08	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	NODE_0037016
hCoV-19/Russia/Moscow-FMBA_KOM-150_S69/2020||2020-09-10|1	Russia/Moscow-FMBA_KOM-150_S69/2020	2020-09-10	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0015323
hCoV-19/Russia/Moscow-FMBA_KOM-151_S18/2020||2020-09-09|1	Russia/Moscow-FMBA_KOM-151_S18/2020	2020-09-09	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0030939
hCoV-19/Russia/Moscow-FMBA_KOM-154_S16/2020||2020-09-10|1	Russia/Moscow-FMBA_KOM-154_S16/2020	2020-09-10	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0002570
hCoV-19/Russia/Moscow-FMBA_KOM-155_S14/2020||2020-09-11|1	Russia/Moscow-FMBA_KOM-155_S14/2020	2020-09-11	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0002570
hCoV-19/Russia/Moscow-FMBA_KOM-156_S33/2020||2020-09-11|1	Russia/Moscow-FMBA_KOM-156_S33/2020	2020-09-11	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0002570
hCoV-19/Russia/Moscow-FMBA_KOM-157_S25/2020||2020-09-11|1	Russia/Moscow-FMBA_KOM-157_S25/2020	2020-09-11	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0005748
hCoV-19/Russia/Moscow-FMBA_KOM-158_S17/2020||2020-09-11|1	Russia/Moscow-FMBA_KOM-158_S17/2020	2020-09-11	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	single_seq
hCoV-19/Russia/Moscow-FMBA_KOM-167_S21/2020||2020-09-12|1	Russia/Moscow-FMBA_KOM-167_S21/2020	2020-09-12	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0015345
hCoV-19/Russia/Moscow-FMBA_KOM-171_S28/2020||2020-09-12|1	Russia/Moscow-FMBA_KOM-171_S28/2020	2020-09-12	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0023049
hCoV-19/Russia/Moscow-FMBA_KOM-172_S74/2020||2020-09-12|1	Russia/Moscow-FMBA_KOM-172_S74/2020	2020-09-12	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0039814
hCoV-19/Russia/Moscow-FMBA_KOM-173_S73/2020||2020-09-11|1	Russia/Moscow-FMBA_KOM-173_S73/2020	2020-09-11	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	NODE_0011972
hCoV-19/Russia/Moscow-FMBA_KOM-175_S30/2020||2020-09-12|1	Russia/Moscow-FMBA_KOM-175_S30/2020	2020-09-12	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0002570
hCoV-19/Russia/Moscow-FMBA_KOM-180_S135/2020||2020-09-12|1	Russia/Moscow-FMBA_KOM-180_S135/2020	2020-09-12	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0011792
hCoV-19/Russia/Moscow-FMBA_KOM-182_S81/2020||2020-09-12|1	Russia/Moscow-FMBA_KOM-182_S81/2020	2020-09-12	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0020213
hCoV-19/Russia/Moscow-FMBA_KOM-184_S4/2020||2020-09-13|1	Russia/Moscow-FMBA_KOM-184_S4/2020	2020-09-13	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	single_seq
hCoV-19/Russia/Moscow-FMBA_KOM-187_S80/2020||2020-09-13|1	Russia/Moscow-FMBA_KOM-187_S80/2020	2020-09-13	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	NODE_0039863
hCoV-19/Russia/Moscow-FMBA_KOM-188_S11/2020||2020-09-13|1	Russia/Moscow-FMBA_KOM-188_S11/2020	2020-09-13	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0011826
hCoV-19/Russia/Moscow-FMBA_KOM-191_S129/2020||2020-09-13|1	Russia/Moscow-FMBA_KOM-191_S129/2020	2020-09-13	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	NODE_0039265
hCoV-19/Russia/Moscow-FMBA_KOM-192_S22/2020||2020-09-13|1	Russia/Moscow-FMBA_KOM-192_S22/2020	2020-09-13	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	NODE_0039265
hCoV-19/Russia/Moscow-FMBA_KOM-193_S19/2020||2020-09-13|1	Russia/Moscow-FMBA_KOM-193_S19/2020	2020-09-13	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0033286
hCoV-19/Russia/Moscow-FMBA_KOM-196_S32/2020||2020-09-13|1	Russia/Moscow-FMBA_KOM-196_S32/2020	2020-09-13	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	NODE_0032543
hCoV-19/Russia/Moscow-FMBA_KOM-197_S15/2020||2020-09-10|1	Russia/Moscow-FMBA_KOM-197_S15/2020	2020-09-10	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0041726
hCoV-19/Russia/Moscow-FMBA_KOM-198_S12/2020||2020-09-10|1	Russia/Moscow-FMBA_KOM-198_S12/2020	2020-09-10	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	NODE_0037026
hCoV-19/Russia/Moscow-FMBA_KOM-199_S1/2020||2020-09-10|1	Russia/Moscow-FMBA_KOM-199_S1/2020	2020-09-10	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0011792
hCoV-19/Russia/Moscow-FMBA_KOM-200_S65/2020||2020-09-10|1	Russia/Moscow-FMBA_KOM-200_S65/2020	2020-09-10	NA	NA	Russia	Moscow	B.1.1.294	NA	г. Москва	NODE_0038861
hCoV-19/Russia/Moscow-FMBA_KOM-201_S45/2020||2020-09-10|1	Russia/Moscow-FMBA_KOM-201_S45/2020	2020-09-10	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	NODE_0037012
hCoV-19/Russia/Moscow-FMBA_KOM-203_S82/2020||2020-09-10|1	Russia/Moscow-FMBA_KOM-203_S82/2020	2020-09-10	NA	NA	Russia	Moscow	B.1.1.294	NA	г. Москва	NODE_0038825
hCoV-19/Russia/Moscow-FMBA_KOM-204_S29/2020||2020-09-14|1	Russia/Moscow-FMBA_KOM-204_S29/2020	2020-09-14	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0015820
hCoV-19/Russia/Moscow-FMBA_KOM-205_S24/2020||2020-09-14|1	Russia/Moscow-FMBA_KOM-205_S24/2020	2020-09-14	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	single_seq
hCoV-19/Russia/Moscow-FMBA_KOM-206_S125/2020||2020-09-14|1	Russia/Moscow-FMBA_KOM-206_S125/2020	2020-09-14	NA	NA	Russia	Moscow	B.1.1.184	NA	г. Москва	NODE_0015528
hCoV-19/Russia/Moscow-FMBA_KOM-207_S20/2020||2020-09-14|1	Russia/Moscow-FMBA_KOM-207_S20/2020	2020-09-14	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	NODE_0007743
hCoV-19/Russia/Moscow-FMBA_KOM-208_S63/2020||2020-09-14|1	Russia/Moscow-FMBA_KOM-208_S63/2020	2020-09-14	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0015346
hCoV-19/Russia/Moscow-FMBA_KOM-209_S9/2020||2020-09-14|1	Russia/Moscow-FMBA_KOM-209_S9/2020	2020-09-14	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	single_seq
hCoV-19/Russia/Moscow-FMBA_KOM-210_S130/2020||2020-09-14|1	Russia/Moscow-FMBA_KOM-210_S130/2020	2020-09-14	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0039469
hCoV-19/Russia/Moscow-FMBA_KOM-214_S64/2020||2020-09-14|1	Russia/Moscow-FMBA_KOM-214_S64/2020	2020-09-14	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0033299
hCoV-19/Russia/Moscow-FMBA_KOM-215_S27/2020||2020-09-15|1	Russia/Moscow-FMBA_KOM-215_S27/2020	2020-09-15	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	NODE_0032534
hCoV-19/Russia/Moscow-FMBA_KOM-216_S31/2020||2020-09-15|1	Russia/Moscow-FMBA_KOM-216_S31/2020	2020-09-15	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0015679
hCoV-19/Russia/Moscow-FMBA_KOM-217_S5/2020||2020-09-16|1	Russia/Moscow-FMBA_KOM-217_S5/2020	2020-09-16	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0033514
hCoV-19/Russia/Moscow-FMBA_KOM-218_S8/2020||2020-09-16|1	Russia/Moscow-FMBA_KOM-218_S8/2020	2020-09-16	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	NODE_0020539
hCoV-19/Russia/Moscow-FMBA_KOM-219_S7/2020||2020-09-16|1	Russia/Moscow-FMBA_KOM-219_S7/2020	2020-09-16	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	single_seq
hCoV-19/Russia/Moscow-FMBA_KOM-220_S26/2020||2020-09-16|1	Russia/Moscow-FMBA_KOM-220_S26/2020	2020-09-16	NA	NA	Russia	Moscow	B.1.1.294	NA	г. Москва	NODE_0038910
hCoV-19/Russia/Moscow-FMBA_KOM-221_S68/2020||2020-09-16|1	Russia/Moscow-FMBA_KOM-221_S68/2020	2020-09-16	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0034035
hCoV-19/Russia/Moscow-FMBA_KOM-223_S10/2020||2020-09-16|1	Russia/Moscow-FMBA_KOM-223_S10/2020	2020-09-16	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	NODE_0033050
hCoV-19/Russia/Moscow-FMBA_KOM-224_S13/2020||2020-09-16|1	Russia/Moscow-FMBA_KOM-224_S13/2020	2020-09-16	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	NODE_0032523
hCoV-19/Russia/Moscow-FMBA_KOM-225_S23/2020||2020-09-16|1	Russia/Moscow-FMBA_KOM-225_S23/2020	2020-09-16	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	NODE_0005319
hCoV-19/Russia/Moscow-FMBA_KOM-226_S6/2020||2020-09-16|1	Russia/Moscow-FMBA_KOM-226_S6/2020	2020-09-16	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0015820
hCoV-19/Russia/Moscow-FMBA_KOM-227_S2/2020||2020-09-16|1	Russia/Moscow-FMBA_KOM-227_S2/2020	2020-09-16	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0005748
hCoV-19/Russia/Moscow-FMBA_KOM-228_S3/2020||2020-09-16|1	Russia/Moscow-FMBA_KOM-228_S3/2020	2020-09-16	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	single_seq
hCoV-19/Russia/Moscow-FMBA_KOM-236_S75/2020||2020-09-18|1	Russia/Moscow-FMBA_KOM-236_S75/2020	2020-09-18	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0001201
hCoV-19/Russia/Moscow-FMBA_KOM-241_S70/2020||2020-09-18|1	Russia/Moscow-FMBA_KOM-241_S70/2020	2020-09-18	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	NODE_0032523
hCoV-19/Russia/Moscow-FMBA_KOM-259_S131/2020||2020-09-20|1	Russia/Moscow-FMBA_KOM-259_S131/2020	2020-09-20	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0039776
hCoV-19/Russia/Moscow-FMBA_KOM-268_S60/2020||2020-09-19|1	Russia/Moscow-FMBA_KOM-268_S60/2020	2020-09-19	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	NODE_0032539
hCoV-19/Russia/Moscow-FMBA_KOM-284_S133/2020||2020-09-22|1	Russia/Moscow-FMBA_KOM-284_S133/2020	2020-09-22	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	NODE_0015623
hCoV-19/Russia/Moscow-FMBA_KOM-287_S78/2020||2020-09-22|1	Russia/Moscow-FMBA_KOM-287_S78/2020	2020-09-22	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0021946
hCoV-19/Russia/Moscow-FMBA_KOM-291_S134/2020||2020-09-22|1	Russia/Moscow-FMBA_KOM-291_S134/2020	2020-09-22	NA	NA	Russia	Moscow	B.1.1.*	NA	г. Москва	NODE_0037013
hCoV-19/Russia/Moscow-FMBA_KOM-301_S61/2020||2020-09-22|1	Russia/Moscow-FMBA_KOM-301_S61/2020	2020-09-22	NA	NA	Russia	Moscow	B.1.1	NA	г. Москва	NODE_0002570
